yyyymm,pr
194901,2.219515
194902,3.3614645
194903,3.289872
194904,4.1550236
194905,3.614262
194906,6.3749585
194907,7.9082947
194908,7.5593123
194909,2.0129292
194910,5.688735
194911,1.8645126
194912,2.4439566
195001,3.2171168
195002,2.3787975
195003,4.1896377
195004,1.1782566
195005,4.1934724
195006,3.813976
195007,4.096087
195008,3.6485386
195009,4.586486
195010,3.1710997
195011,1.2693887
195012,4.244812
195101,1.4351304
195102,1.9610015
195103,4.9351845
195104,2.9637666
195105,0.9483649
195106,6.3488445
195107,3.750626
195108,1.3639871
195109,2.7604854
195110,2.3781786
195111,2.4421225
195112,4.9447
195201,3.492407
195202,2.9604943
195203,6.893293
195204,3.597153
195205,1.5874276
195206,2.5022857
195207,2.4931715
195208,5.135824
195209,1.5069846
195210,0.8099984
195211,2.8087542
195212,2.5543673
195301,4.8795857
195302,5.2648373
195303,3.1357825
195304,2.0258265
195305,2.8784041
195306,3.2224567
195307,2.2312317
195308,2.5477526
195309,3.8947067
195310,0.739735
195311,1.5808074
195312,3.3353095
195401,7.039573
195402,3.4611492
195403,5.283897
195404,2.7385068
195405,2.754485
195406,2.2847972
195407,2.9553454
195408,3.2279615
195409,0.83639616
195410,2.364237
195411,2.991782
195412,3.1671321
195501,1.4085568
195502,3.7660854
195503,4.3008356
195504,3.6426437
195505,4.0523214
195506,3.3897834
195507,5.74343
195508,3.9967444
195509,1.4175886
195510,1.6273898
195511,2.3036878
195512,1.1674598
195601,1.4001933
195602,5.6978893
195603,3.4797726
195604,4.96135
195605,2.1680727
195606,2.5636275
195607,5.5171857
195608,1.6648313
195609,5.708857
195610,3.3957684
195611,1.4360551
195612,3.524496
195701,4.3287477
195702,5.5621285
195703,2.0572605
195704,7.3938713
195705,2.7656534
195706,7.2785897
195707,2.2873652
195708,2.1169162
195709,6.252453
195710,2.9051132
195711,6.1225076
195712,3.861878
195801,2.7357934
195802,3.6684737
195803,3.0354445
195804,5.2229805
195805,3.6855755
195806,2.225854
195807,4.79313
195808,2.8020825
195809,2.113573
195810,2.3863928
195811,2.0876684
195812,3.9738135
195901,3.0990348
195902,2.1195686
195903,3.5728495
195904,4.813844
195905,5.5543647
195906,1.9987057
195907,4.2013373
195908,4.406927
195909,7.1921673
195910,5.597574
195911,1.6479192
195912,2.6463804
196001,3.7686083
196002,5.0558853
196003,4.0671606
196004,2.6476777
196005,2.6537375
196006,4.0423465
196007,3.496557
196008,6.2473354
196009,2.7709677
196010,3.8442092
196011,0.94516295
196012,1.424243
196101,1.8974518
196102,5.709539
196103,3.21231
196104,3.3196762
196105,3.3080416
196106,5.572367
196107,3.4339857
196108,8.709463
196109,1.4300557
196110,2.5361078
196111,4.5239525
196112,6.652154
196201,4.7049212
196202,4.4192395
196203,4.001338
196204,3.1416776
196205,2.1814337
196206,6.2177515
196207,4.0905523
196208,3.6258898
196209,2.918954
196210,2.7173707
196211,3.4846404
196212,1.7060162
196301,2.1347802
196302,2.0083637
196303,7.4300466
196304,3.220073
196305,2.3894186
196306,3.239124
196307,3.938647
196308,3.0222194
196309,2.5379014
196310,0.43144158
196311,3.6699924
196312,1.9062853
196401,3.126126
196402,3.8104882
196403,4.903086
196404,5.634922
196405,1.4885212
196406,1.8747491
196407,5.3843837
196408,7.381612
196409,5.782339
196410,8.069177
196411,2.3259184
196412,3.1937816
196501,1.8997594
196502,3.7997823
196503,5.833026
196504,3.5844617
196505,4.4029756
196506,3.7684584
196507,3.4576697
196508,3.417845
196509,5.045737
196510,1.82049
196511,1.3675492
196512,0.116390124
196601,3.0224056
196602,5.6669
196603,2.120618
196604,4.4197803
196605,2.6721141
196606,1.8824975
196607,3.905709
196608,5.385857
196609,4.282854
196610,4.0426474
196611,3.308633
196612,2.366853
196701,1.9372633
196702,2.6068993
196703,2.6603818
196704,1.6071146
196705,5.4850087
196706,6.356747
196707,6.1659803
196708,7.1752048
196709,2.3206103
196710,3.5887938
196711,1.944336
196712,4.2876825
196801,3.0408788
196802,0.52377313
196803,4.917659
196804,2.3436086
196805,2.4175005
196806,4.126572
196807,3.4319983
196808,2.852574
196809,1.8194057
196810,5.206294
196811,2.5310266
196812,2.4194841
196901,2.7013235
196902,4.6353855
196903,3.3458512
196904,3.3542995
196905,2.580218
196906,4.1982756
196907,3.5908957
196908,5.851888
196909,2.6730587
196910,2.7199025
196911,2.0690784
196912,3.9567778
197001,1.6397281
197002,2.7083654
197003,1.9305704
197004,3.0994143
197005,1.7353342
197006,2.8514047
197007,4.2634087
197008,3.3834677
197009,1.9866306
197010,4.552886
197011,1.914347
197012,2.4201868
197101,2.5065138
197102,4.788341
197103,2.829847
197104,2.0551972
197105,3.859982
197106,3.4872463
197107,5.0262413
197108,2.8240604
197109,2.7634954
197110,6.118397
197111,1.5792067
197112,3.2128413
197201,3.3467696
197202,2.5266151
197203,3.4869077
197204,2.2090888
197205,5.7030354
197206,6.0029078
197207,4.026924
197208,1.9739321
197209,3.2975404
197210,4.2309175
197211,3.3721685
197212,3.6035166
197301,4.1320567
197302,2.871643
197303,7.2116857
197304,3.9881356
197305,5.8908296
197306,3.1252136
197307,3.6577482
197308,2.431982
197309,3.3799062
197310,1.7031375
197311,3.6887882
197312,5.90809
197401,3.3419256
197402,4.3376637
197403,3.4483547
197404,4.6540504
197405,5.383582
197406,3.7033744
197407,3.0904212
197408,6.14255
197409,2.9585505
197410,1.3402148
197411,3.8010287
197412,2.5344656
197501,3.808845
197502,4.229376
197503,8.690107
197504,1.0067401
197505,6.119115
197506,2.4128554
197507,3.1904902
197508,3.9339066
197509,6.8167305
197510,3.2313664
197511,3.611161
197512,2.5801208
197601,3.4598813
197602,1.5451149
197603,3.863023
197604,0.4449791
197605,8.459517
197606,4.081795
197607,2.1924417
197608,3.4173694
197609,3.6002378
197610,4.8537264
197611,1.4804595
197612,3.6870098
197701,1.700311
197702,1.1627165
197703,6.2467146
197704,5.0417852
197705,3.4719896
197706,3.8454149
197707,1.5357999
197708,3.0758617
197709,6.4533243
197710,4.0537233
197711,7.2030773
197712,1.8472946
197801,5.5637164
197802,0.54754424
197803,4.1446776
197804,3.0955052
197805,3.2561626
197806,1.5317556
197807,1.9769198
197808,6.400241
197809,1.7386942
197810,0.40809807
197811,2.2305884
197812,4.4908857
197901,4.6398916
197902,4.2983418
197903,5.6459436
197904,6.150992
197905,4.9433146
197906,2.812107
197907,5.3789945
197908,3.3440368
197909,7.4966364
197910,2.817361
197911,6.2281876
197912,1.051946
198001,2.720649
198002,0.99948573
198003,6.054258
198004,3.9224505
198005,3.7146478
198006,3.4551365
198007,2.371981
198008,2.156627
198009,3.78654
198010,2.3130212
198011,2.0639431
198012,0.7977028
198101,0.5986704
198102,4.4912176
198103,2.8097122
198104,2.0358193
198105,4.955178
198106,2.776941
198107,2.4577744
198108,1.0174804
198109,2.626236
198110,1.9744025
198111,1.2779707
198112,2.8657522
198201,4.5806327
198202,5.702307
198203,2.148705
198204,3.262464
198205,5.100099
198206,2.1604478
198207,6.024772
198208,2.1816003
198209,1.248746
198210,2.9429429
198211,3.7423217
198212,3.7883704
198301,3.1699846
198302,5.083958
198303,5.9188547
198304,5.5725784
198305,3.6218123
198306,4.2601438
198307,1.0499274
198308,1.3501745
198309,3.561697
198310,3.028577
198311,3.866657
198312,6.594223
198401,1.9078144
198402,6.338394
198403,3.6917753
198404,3.3703814
198405,5.0905724
198406,4.153824
198407,4.834369
198408,2.7066128
198409,0.26110524
198410,1.8391374
198411,2.6532707
198412,1.3893431
198501,2.6604092
198502,4.220483
198503,0.9922186
198504,2.629863
198505,2.330528
198506,2.8190885
198507,5.0575147
198508,5.0497484
198509,0.5407297
198510,3.4321837
198511,4.6995044
198512,0.61497706
198601,0.97579914
198602,2.054565
198603,2.0879211
198604,0.7046062
198605,2.8703592
198606,1.0489079
198607,2.2491148
198608,4.202672
198609,2.4865766
198610,3.4454036
198611,4.499604
198612,3.7088852
198701,3.2308595
198702,5.1973567
198703,2.2158632
198704,4.1655293
198705,2.9752238
198706,4.3256273
198707,1.8486266
198708,1.6775209
198709,6.032962
198710,0.43450296
198711,2.9591446
198712,2.3368454
198801,2.698752
198802,0.8660723
198803,1.2861401
198804,3.5849972
198805,1.142034
198806,1.6624353
198807,3.7781277
198808,2.933303
198809,3.0431428
198810,2.732573
198811,2.8932064
198812,1.1946156
198901,2.1563966
198902,4.922935
198903,3.1980631
198904,4.0777965
198905,4.7540092
198906,7.720619
198907,5.2035646
198908,3.0058806
198909,7.500764
198910,2.729018
198911,3.962696
198912,3.1020265
199001,3.7916403
199002,7.1351027
199003,5.2511406
199004,2.3450189
199005,4.997157
199006,1.4587963
199007,4.099373
199008,5.3941183
199009,1.6668862
199010,7.8951654
199011,1.6225828
199012,4.201603
199101,2.6385107
199102,3.4703512
199103,5.711698
199104,4.432211
199105,2.09078
199106,3.8643463
199107,5.008315
199108,4.7400217
199109,1.1343591
199110,0.29665452
199111,4.421684
199112,2.581243
199201,2.782037
199202,3.1131427
199203,3.7251666
199204,3.6512978
199205,5.597185
199206,4.8481812
199207,1.652354
199208,7.0169063
199209,2.3015625
199210,4.401905
199211,5.581634
199212,3.6341093
199301,3.8803425
199302,2.3572052
199303,6.358716
199304,3.4052958
199305,3.0660455
199306,1.5904666
199307,2.085261
199308,3.7338264
199309,2.130754
199310,1.1811708
199311,2.8425562
199312,3.9466631
199401,5.137184
199402,4.412758
199403,6.51153
199404,3.7208138
199405,1.8859808
199406,4.4980655
199407,4.8933773
199408,7.2091494
199409,3.3773918
199410,3.880828
199411,2.5365622
199412,2.1434069
199501,7.054738
199502,4.4026227
199503,2.6380908
199504,1.6581683
199505,3.958538
199506,7.094158
199507,2.338002
199508,6.991416
199509,2.415905
199510,6.7058344
199511,3.0651307
199512,1.2907728
199601,7.6098785
199602,2.9487467
199603,3.378829
199604,2.562746
199605,3.0000756
199606,3.2733414
199607,3.5452738
199608,5.008453
199609,5.7356796
199610,0.72964174
199611,4.480054
199612,3.5079968
199701,3.4589863
199702,4.790559
199703,5.4861226
199704,4.4678745
199705,2.7867622
199706,4.691532
199707,3.4196556
199708,0.6885212
199709,5.7260695
199710,3.0511763
199711,1.7404604
199712,2.638007
199801,9.200248
199802,6.4287796
199803,3.2783194
199804,6.970675
199805,2.5670767
199806,3.111762
199807,2.0491107
199808,1.2270298
199809,1.476848
199810,1.8138461
199811,2.2137852
199812,3.1307008
199901,5.2771206
199902,3.1305099
199903,3.3226497
199904,2.0828187
199905,2.6514733
199906,3.9728842
199907,4.4205914
199908,1.6488459
199909,1.9556326
199910,3.2340844
199911,3.2983868
199912,1.7652104
200001,3.2421613
200002,2.5069695
200003,3.9965096
200004,5.403136
200005,2.6964467
200006,3.8482304
200007,3.9227436
200008,3.0774295
200009,2.9677649
200010,0.063463755
200011,3.2684236
200012,1.87378
200101,2.6134148
200102,2.709207
200103,4.3073163
200104,1.640211
200105,2.6198049
200106,4.019193
200107,5.428982
200108,2.791302
200109,3.594514
200110,1.0590566
200111,1.3135333
200112,2.3815894
200201,4.0178056
200202,1.2453092
200203,4.6953626
200204,1.8641039
200205,3.130912
200206,3.8898919
200207,2.5468676
200208,2.088611
200209,5.621189
200210,3.3269215
200211,3.911422
200212,5.046949
200301,1.6275336
200302,4.6691504
200303,3.946762
200304,5.1098495
200305,7.856914
200306,6.7006903
200307,5.669354
200308,4.4948406
200309,3.3946779
200310,2.4441524
200311,4.5213127
200312,3.2386765
200401,1.118442
200402,3.98273
200403,2.3926601
200404,3.3165827
200405,3.6576147
200406,5.285529
200407,4.0138483
200408,4.098194
200409,18.371685
200410,1.6064022
200411,4.8229775
200412,2.7776198
200501,2.2615151
200502,2.9847963
200503,3.4387567
200504,3.869865
200505,1.9593319
200506,8.1900425
200507,7.4899845
200508,7.226054
200509,0.57002175
200510,2.1882935
200511,4.305841
200512,2.8826942
200601,4.28582
200602,2.3999307
200603,1.4544868
200604,4.9032073
200605,2.8090892
200606,5.333816
200607,2.8683617
200608,5.3038445
200609,5.8945937
200610,3.107154
200611,4.024331
200612,3.0724833
200701,3.2043066
200702,2.542358
200703,2.6706464
200704,1.7172018
200705,1.357685
200706,2.6716156
200707,4.798347
200708,2.1417162
200709,2.5788765
200710,2.4965773
200711,1.4355205
200712,3.5951698
200801,2.851562
200802,2.9116619
200803,4.50626
200804,2.7975078
200805,1.8959552
200806,2.7193089
200807,2.4300487
200808,5.688882
200809,2.5281785
200810,1.4558846
200811,2.0967326
200812,4.589565
200901,2.4973772
200902,2.2792215
200903,3.7083156
200904,3.3390942
200905,7.802361
200906,4.6539273
200907,2.904281
200908,4.5433784
200909,8.349475
200910,4.9594626
200911,4.5285134
200912,6.7473097
